#DETEKTREF,INT_BEGIN,Q_KFZ,V_KFZ,Q_PKW,V_PKW,Q_LKW,V_LKW
1000008316,00:50:00,24,36,18,27,6,10
1000008316,01:00:00,24,26,24,26,0,0
1000008316,01:10:00,12,14,12,14,0,0
1000008316,01:20:00,12,13,6,6,6,7
1000008316,01:30:00,18,18,18,18,0,0
1000008316,01:40:00,6,8,6,8,0,0
1000008316,01:50:00,24,28,24,28,0,0
1000008316,02:00:00,12,14,12,14,0,0
1000008316,02:10:00,6,9,6,9,0,0
1000008316,02:20:00,12,5,12,5,0,0
1000008316,02:30:00,0,0,0,0,0,0
1000008316,02:40:00,24,27,18,25,6,2
1000008316,02:50:00,0,0,0,0,0,0
1000008316,03:00:00,12,16,12,16,0,0
1000008316,03:10:00,0,0,0,0,0,0
1000008316,03:20:00,0,0,0,0,0,0
1000008316,03:30:00,0,0,0,0,0,0
1000008316,03:40:00,6,2,6,2,0,0
1000008316,03:50:00,6,10,6,10,0,0
1000008316,04:00:00,0,0,0,0,0,0
1000008316,04:10:00,24,35,18,28,6,7
1000008316,04:20:00,6,11,6,11,0,0
1000008316,04:30:00,12,18,6,9,6,9
1000008316,04:40:00,12,9,12,9,0,0
1000008316,04:50:00,30,36,24,30,6,7
1000008316,05:00:00,30,41,24,32,6,8
1000008316,05:10:00,48,54,48,54,0,0
1000008316,05:20:00,42,56,42,56,0,0
1000008316,05:30:00,90,54,84,55,6,4
1000008316,05:40:00,66,54,60,54,6,8
1000008316,05:50:00,96,57,90,49,6,8
1000008316,06:00:00,78,47,78,47,0,0
1000008316,06:10:00,126,78,126,78,0,0
1000008316,06:20:00,132,71,132,71,0,0
1000008316,06:30:00,138,56,126,56,12,14
1000008316,06:40:00,210,76,210,76,0,0
1000008316,06:50:00,270,60,264,60,6,6
1000008316,07:00:00,270,56,270,56,0,0
1000008316,07:10:00,372,65,354,65,18,12
1000008316,07:20:00,300,55,294,55,6,5
1000008316,07:30:00,396,65,390,65,6,5
1000008316,07:40:00,336,62,336,62,0,0
1000008316,07:50:00,294,66,294,66,0,0
1000008316,08:00:00,384,60,384,60,0,0
1000008316,08:10:00,438,63,432,63,6,8
1000008316,08:20:00,294,55,294,55,0,0
1000008316,08:30:00,318,64,312,64,6,5
1000008316,08:40:00,366,61,360,61,6,8
1000008316,08:50:00,276,66,270,65,6,8
1000008316,09:00:00,258,72,252,72,6,7
1000008316,09:10:00,312,74,300,74,12,7
1000008316,09:20:00,276,61,270,61,6,9
1000008316,09:30:00,270,62,270,62,0,0
1000008316,09:40:00,324,70,300,70,24,30
1000008316,09:50:00,288,70,276,70,12,16
1000008316,10:00:00,294,70,282,70,12,15
1000008316,10:10:00,342,60,342,60,0,0
1000008316,10:20:00,240,68,234,68,6,7
1000008316,10:30:00,450,65,438,65,12,14
1000008316,10:40:00,294,63,294,63,0,0
1000008316,10:50:00,390,68,378,67,12,15
1000008316,11:00:00,306,64,294,64,12,12
1000008316,11:10:00,270,68,264,68,6,7
1000008316,11:20:00,432,63,420,64,12,9
1000008316,11:30:00,450,71,438,70,12,16
1000008316,11:40:00,366,63,354,63,12,13
1000008316,11:50:00,378,67,360,67,18,20
1000008316,12:00:00,354,62,342,62,12,12
1000008316,12:10:00,432,68,414,68,18,22
1000008316,12:20:00,408,64,408,64,0,0
1000008316,12:30:00,480,69,468,69,12,16
1000008316,12:40:00,522,66,504,66,18,19
1000008316,12:50:00,492,69,474,68,18,14
1000008316,13:00:00,492,71,480,71,12,10
1000008316,13:10:00,522,68,510,68,12,15
1000008316,13:20:00,564,68,558,68,6,6
1000008316,13:30:00,552,64,516,64,36,25
1000008316,13:40:00,498,64,480,64,18,19
1000008316,13:50:00,486,67,486,67,0,0
1000008316,14:00:00,468,70,438,70,30,26
1000008316,14:10:00,570,66,558,66,12,14
1000008316,14:20:00,552,64,528,64,24,25
1000008316,14:30:00,486,66,480,65,6,7
1000008316,14:40:00,624,61,606,61,18,21
1000008316,14:50:00,462,60,450,60,12,12
1000008316,15:00:00,570,68,552,68,18,19
1000008316,15:10:00,558,72,540,72,18,16
1000008316,15:20:00,540,64,522,65,18,13
1000008316,15:30:00,744,72,726,72,18,19
1000008316,15:40:00,834,60,816,60,18,12
1000008316,15:50:00,786,69,780,69,6,8
1000008316,16:00:00,810,71,804,71,6,7
1000008316,16:10:00,774,71,768,71,6,7
1000008316,16:20:00,840,67,804,67,36,35
1000008316,16:30:00,852,68,840,68,12,13
1000008316,16:40:00,954,70,948,70,6,7
1000008316,16:50:00,798,68,786,68,12,12
1000008316,17:00:00,822,66,810,66,12,17
1000008316,17:10:00,900,68,876,68,24,21
1000008316,17:20:00,894,68,870,68,24,21
1000008316,17:30:00,966,70,954,70,12,14
1000008316,17:40:00,738,70,726,70,12,17
1000008316,17:50:00,774,70,768,70,6,5
1000008316,18:00:00,768,68,762,68,6,6
1000008316,18:10:00,756,72,750,72,6,9
1000008316,18:20:00,702,66,696,66,6,6
1000008316,18:30:00,666,69,660,69,6,10
1000008316,18:40:00,660,70,654,70,6,4
1000008316,18:50:00,678,68,672,68,6,5
1000008316,19:00:00,534,67,522,67,12,12
1000008316,19:10:00,444,67,426,67,18,18
1000008316,19:20:00,384,74,378,74,6,5
1000008316,19:30:00,396,75,384,74,12,16
1000008316,19:40:00,384,72,372,72,12,15
1000008316,19:50:00,408,69,408,69,0,0
1000008316,20:00:00,312,65,312,65,0,0
1000008316,20:10:00,324,61,324,61,0,0
1000008316,20:20:00,294,67,288,67,6,9
1000008316,20:30:00,336,69,330,69,6,6
